source_node_ref_id,original_reference,normalized_reference,snippet
ITAA1997:Section:12-5,ITAA1997:Part:IIIB,ITAA1997:Part:III,Part IIIB
ITAA1997:Section:12-5,ITAA1997:Section:117,ITAA1997:Section:117,117 to 121
ITAA1997:Section:12-5,ITAA1997:Section:120,ITAA1997:Section:120,120
ITAA1997:Section:12-5,ITAA1997:Section:398,ITAA1997:Section:398,398
ITAA1997:Section:12-5,ITAA1997:Section:468,ITAA1997:Section:468,316 to 468
ITAA1997:Section:13-1,ITAA1997:Section:127,ITAA1997:Section:127,127
ITAA1997:Section:13-1,ITAA1997:Section:156,ITAA1997:Section:156,156
ITAA1997:Section:17-1,GSTA1999:Act,FAILED_NORMALIZATION,GST Act
ITAA1997:Section:20-15,ITAA1997:Section:20-21,ITAA1997:Section:20-21,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-22,ITAA1997:Section:20-22,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-23,ITAA1997:Section:20-23,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-24,ITAA1997:Section:20-24,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-26,ITAA1997:Section:20-26,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-27,ITAA1997:Section:20-27,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-28,ITAA1997:Section:20-28,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-29,ITAA1997:Section:20-29,sections 20-20 to 20-30
ITAA1997:Section:20-15,ITAA1997:Section:20-36,ITAA1997:Section:20-36,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-37,ITAA1997:Section:20-37,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-38,ITAA1997:Section:20-38,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-39,ITAA1997:Section:20-39,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-41,ITAA1997:Section:20-41,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-42,ITAA1997:Section:20-42,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-43,ITAA1997:Section:20-43,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-44,ITAA1997:Section:20-44,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-46,ITAA1997:Section:20-46,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-47,ITAA1997:Section:20-47,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-48,ITAA1997:Section:20-48,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-49,ITAA1997:Section:20-49,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-51,ITAA1997:Section:20-51,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-52,ITAA1997:Section:20-52,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-53,ITAA1997:Section:20-53,sections 20-35 to 20-55
ITAA1997:Section:20-15,ITAA1997:Section:20-54,ITAA1997:Section:20-54,sections 20-35 to 20-55
ITAA1997:Section:20-30,ITAA1997:Section:25-80,ITAA1997:Section:25-80,The former 25-80
ITAA1997:Section:20-30,ITAA1997:Section:330-15,ITAA1997:Section:330-15,The former 330-15
ITAA1997:Section:20-30,ITAA1997:Section:330-350,ITAA1997:Section:330-350,The former 330-350
ITAA1997:Section:20-30,ITAA1997:Section:330-370,ITAA1997:Section:330-370,The former 330-370
ITAA1997:Section:20-30,ITAA1997:Section:330-435,ITAA1997:Section:330-435,The former 330-435
ITAA1997:Section:20-30,ITAA1997:Section:330-485,ITAA1997:Section:330-485,The former 330-485
ITAA1997:Section:20-30,ITAA1997:Section:330-80,ITAA1997:Section:330-80,The former 330-80
ITAA1997:Section:20-30,ITAA1997:Subdivision:380-C,ITAA1997:Subdivision:380-C,The former Subdivisions 380-A and 380-C
ITAA1997:Section:20-30,ITAA1997:Subdivision:387-A,ITAA1997:Subdivision:387-A,The former Subdivision 387-A
ITAA1997:Section:20-30,ITAA1997:Subdivision:387-B,ITAA1997:Subdivision:387-B,The former Subdivision 387-B
ITAA1997:Section:20-30,ITAA1997:Subdivision:387-C,ITAA1997:Subdivision:387-C,The former Subdivision 387-C
ITAA1997:Section:20-30,ITAA1997:Subdivision:387-D,ITAA1997:Subdivision:387-D,The former Subdivision 387-D
ITAA1997:Section:20-30,ITAA1997:Subdivision:387-E,ITAA1997:Subdivision:387-E,The former Subdivision 387-E
ITAA1997:Section:20-30,ITAA1997:Subdivision:400-A,ITAA1997:Subdivision:400-A,The former Subdivision 400-A
ITAA1997:Section:20-30,ITAA1997:Subdivision:400-B,ITAA1997:Subdivision:400-B,The former Subdivision 400-B
ITAA1997:Section:20-30,ITAA1997:Subdivision:46-B,ITAA1997:Subdivision:46-B,the former Subdivision 46-B)
ITAA1997:Section:20-30,ITAA1997:Subdivision:46-C,ITAA1997:Subdivision:46-C,The former Subdivision 46-C
ITAA1997:Section:20-30,ITAA1997:Subdivision:46-D,ITAA1997:Subdivision:46-D,The former Subdivision 46-D
ITAA1997:Section:20-30,Petroleum Resource Rent Tax Assessment Act 1987:Section:99,ITAA1997:Section:1987,paragraph 99(d) of the Petroleum Resource Rent Tax Assessment Act 1987
ITAA1997:Section:25-125,TGA1989:Section:9A,ITAA1997:Section:1989,section 9A of that Act
ITAA1997:Section:26-20,AASLA2014:Chapter:3,ITAA1997:Section:L,Chapter 3 of the Australian Apprenticeship Support Loans Act 2014
ITAA1997:Section:26-20,HESA2003:Chapter:4,ITAA1997:Section:2003,Chapter 4 of that Act
ITAA1997:Section:26-20,SAA1973:Part:2,ITAA1997:Part:1973,Part 2 of the Student Assistance Act 1973
ITAA1997:Section:26-20,SDLRLA2015,ITAA1997:Section:DL,Student Loans (Overseas Debtors Repayment Levy) Act 2015
ITAA1997:Section:26-20,SSA1991:Chapter:2AA,ITAA1997:Section:1991,Chapter 2AA of the Social Security Act 1991
ITAA1997:Section:26-20,VSLA2016:Part:3A,ITAA1997:Part:V,Part 3A of the VET Student Loans Act 2016
ITAA1997:Section:26-95,SGAA1992:Section:74,ITAA1997:Section:1992,section 74 of the Superannuation Guarantee (Administration) Act 1992
ITAA1997:Section:30-45A,National Emergency Declaration Act 2020,ITAA1997:Section:D,National Emergency Declaration Act 2020
ITAA1997:Section:30-244,CEA1918:Part:XI,ITAA1997:Part:C,Part XI of the Commonwealth Electoral Act 1918
ITAA1997:Section:36-35,Bankruptcy Act 1966:Section:74,ITAA1997:Section:1966,section 74 of the Bankruptcy Act 1966
ITAA1997:Section:40-82,ITAA1997:Section:40-145,ITAA1997:Section:40-145,section 40-145 of that Act
ITAA1997:Section:40-95,ITAA1997:Subsection,ITAA1997:Reference:Subsection,subsection (12)
ITAA1997:Section:40-180,Airports (Transitional) Act 1996:Section:49A,ITAA1997:Section:1996,"section 49A, 49B, 50A, 50B, 51A or 51B of the Airports (Transitional) Act 1996"
ITAA1997:Section:40-335,ITAA1997:Section:40-385,ITAA1997:Section:40-385,this section
ITAA1997:Section:40-670,AA1901:Section:33,ITAA1997:Section:1901,subsection 33(3) of the Acts Interpretation Act 1901
ITAA1997:Section:40-1010,ITAA1997:Subsection:40-995(1),ITAA1997:Section:40-995,(1)	Expenditure is covered under this section in relation to particular trees if:
ITAA1997:Section:43-70,ITAA1997:Subdivision:387-G,ITAA1997:Subdivision:387-G,the former Subdivision 387-G of this Act
ITAA1997:Section:50-5,ITAA1997:Section:50-80,ITAA1997:Section:50-80,Section 50-80
ITAA1997:Section:51-35,SocialSecurityAct1991:Part:2-13A,ITAA1997:Part:1991,Part 2.13A of the Social Security Act 1991
ITAA1997:Section:51-120,Banking Act 1959:Paragraph:69(7AA)(a),ITAA1997:Section:1959,paragraph 69(7AA)(a) of the Banking Act 1959
ITAA1997:Section:52-10,FarmHouseholdSupportAct2014:Part:5,ITAA1997:Part:2014,Part 5 of that Act
ITAA1997:Section:52-20,Social Security Act 1991:Division:10:Part:2.11,ITAA1997:Part:2:Division:10,Division 10 of Part 2.11
ITAA1997:Section:52-20,Social Security Act 1991:Division:9:Part:2.12,ITAA1997:Part:2:Division:9,Division 9 of Part 2.12
ITAA1997:Section:52-65,Veterans’ Entitlements Act 1986:Division:1:Part:IIIH,ITAA1997:Part:III:Division:1,Division 1 of Part IIIH of the Veterans’ Entitlements Act 1986
ITAA1997:Section:52-65,Veterans’ Entitlements Act 1986:Division:2:Part:IIIH,ITAA1997:Part:III:Division:2,Division 2 of Part IIIH of the Veterans’ Entitlements Act 1986
ITAA1997:Section:52-65,Veterans’ Entitlements Act 1986:Section:198N,ITAA1997:Section:V,section 198N of the Veterans’ Entitlements Act 1986
ITAA1997:Section:52-75,VEA:Part:III:Division:3,ITAA1997:Part:III:Division:3,Division 3 of Part III
ITAA1997:Section:52-75,VEA:Part:III:Division:4,ITAA1997:Part:III:Division:4,Division 4 of Part III
ITAA1997:Section:52-75,VEA:Part:III:Division:5,ITAA1997:Part:III:Division:5,Division 5 of Part III
ITAA1997:Section:52-75,VEA:Part:III:Division:6,ITAA1997:Part:III:Division:6,Division 6 of Part III
ITAA1997:Section:52-75,VEA:Part:IIIB:Division:12A,ITAA1997:Part:III:Division:12A,Division 12A of Part IIIB
ITAA1997:Section:52-105,Repatriation_(Far_East_Strategic_Reserve)_Act_1956:Section:Not_Applicable,ITAA1997:Section:1956,Repatriation (Far East Strategic Reserve) Act 1956
ITAA1997:Section:52-105,Repatriation_(Special_Overseas_Service)_Act_1962:Section:Not_Applicable,ITAA1997:Section:1962,Repatriation (Special Overseas Service) Act 1962
ITAA1997:Section:52-105,Repatriation_Act_1920:Schedule:3,ITAA1997:Schedule:3,Table A in Schedule 3 to the Repatriation Act 1920
ITAA1997:Section:52-120,TBSAAct2019:Part:3,ITAA1997:Part:2019,Part 3 (travelling expenses) of the Treatment Benefits (Special Access) Act 2019
ITAA1997:Section:52-162,ITAA1997:Schedule:1,ITAA1997:Schedule:1,Part 2 of Schedule 1 to the Family Assistance and Other Legislation Amendment (Schoolkids Bonus Budget Measures) Act 2012
ITAA1997:Section:54-25,LI1995:Part:10:Division:2A,ITAA1997:Part:10:Division:2A,Division 2A of Part 10 of the Life Insurance Act 1995
ITAA1997:Section:58-10,ITAA1997:Subsection:58-100(1),ITAA1997:Section:58-100,subsection (1)
ITAA1997:Section:59-50,ITAA1997:Section:59-2,ITAA1997:Section:59-2,subsection (2)
ITAA1997:Section:59-50,Native Title Act 1993:Division:5:Part:2,ITAA1997:Part:2:Division:5,Division 5 of Part 2 of the Native Title Act 1993
ITAA1997:Section:59-50,Native Title Act 1993:Section:31,ITAA1997:Section:1993,paragraph 31(1)(b) of that Act
ITAA1997:Section:59-98,ITAA1997:Subsection:59-5(2),ITAA1997:Section:59-5,subsection (2)
ITAA1997:Section:61-20,TAA1999:Schedule:1:Section:28B,ITAA1997:Schedule:1:Section:28B,subclause 28B(1) of Schedule 1 to the A New Tax System (Family Assistance) Act 1999
ITAA1997:Section:61-20,TAA1999:Schedule:4,ITAA1997:Schedule:4,Part 2 of Schedule 4 to that Act
ITAA1997:Section:61-25,ANTSFA1999:Schedule:1:Clause:31,ITAA1997:Schedule:1:Section:C,clause 31 of Schedule 1 to that Act
ITAA1997:Section:61-30,ITAA1997:Section:61-36,ITAA1997:Section:61-36,sections 61-35 to 61-45
ITAA1997:Section:61-30,ITAA1997:Section:61-37,ITAA1997:Section:61-37,sections 61-35 to 61-45
ITAA1997:Section:61-30,ITAA1997:Section:61-38,ITAA1997:Section:61-38,sections 61-35 to 61-45
ITAA1997:Section:61-30,ITAA1997:Section:61-39,ITAA1997:Section:61-39,sections 61-35 to 61-45
ITAA1997:Section:61-30,ITAA1997:Section:61-41,ITAA1997:Section:61-41,sections 61-35 to 61-45
ITAA1997:Section:61-30,ITAA1997:Section:61-42,ITAA1997:Section:61-42,sections 61-35 to 61-45
ITAA1997:Section:61-30,ITAA1997:Section:61-43,ITAA1997:Section:61-43,sections 61-35 to 61-45
ITAA1997:Section:61-30,ITAA1997:Section:61-44,ITAA1997:Section:61-44,sections 61-35 to 61-45
ITAA1997:Section:61-200,PHIA2007:Division:23,ITAA1997:Division:I,Division 23 of the Private Health Insurance Act 2007
ITAA1997:Section:61-205,ITAA1997:Section:7,ITAA1997:Section:7,"section 6, 6A or 7 of that Act"
ITAA1997:Section:61-210,ITAA1997:Section:282-18,ITAA1997:Section:282-18,See section 282-18 of the Private Health Insurance Act 2007
ITAA1997:Section:61-580,ANSMSFBA1999:Part:3:Division:4,ITAA1997:Part:3:Division:4,Division 4 of Part 3 of the A New Tax System (Medicare Levy Surcharge—Fringe Benefits) Act 1999
ITAA1997:Section:61-580,MLAA1986:Section:3,ITAA1997:Section:ML,section 3 of the Medicare Levy Act 1986
ITAA1997:Section:61-705,SRTIA2012:Part:2,ITAA1997:Part:I,Part 2 of the Shipping Reform (Tax Incentives) Act 2012
ITAA1997:Section:61-710,ITAA1997:Section:12-35,ITAA1997:Section:12-35,section 12-35
ITAA1997:Section:61-765,ITAA1997:Paragraph,ITAA1997:Reference:Paragraph,paragraph (1)(a)
ITAA1997:Section:63-10,ITAA1997:Subdivision:388-A,ITAA1997:Subdivision:388-A,Landcare and water facility *tax offset under the former Subdivision 388-A
ITAA1997:Section:65-55,ITAA1997:Section:66-50,ITAA1997:Section:66-50,unable to apply because of section 66-50
ITAA1997:Section:83A-35,ITAA1997:Section:83A-40:6,ITAA1997:Section:83A-40,subsections (6) and (7) of this section
ITAA1997:Section:83A-115,ITAA1997:Section:83A-2,ITAA1997:Section:83A-2,subsections (4) and (6)
ITAA1997:Section:83A-115,ITAA1997:Section:83A-3,ITAA1997:Section:83A-3,subsection (2)
ITAA1997:Section:83A-115,ITAA1997:Section:83A-4,ITAA1997:Section:83A-4,subsection (4)
ITAA1997:Section:83A-115,ITAA1997:Section:83A-6,ITAA1997:Section:83A-6,subsection (6)
ITAA1997:Section:83A-120,ITAA1997:Section:83A-7,ITAA1997:Section:83A-7,The 3rd possible taxing point is the earliest time when:
ITAA1997:Section:87-18,ITAA1997:Subsection:87-3,ITAA1997:Section:87-3,paragraph (3)(a)
ITAA1997:Section:87-18,ITAA1997:Subsection:87-4,ITAA1997:Section:87-4,paragraph (3)(a)
ITAA1997:Section:87-25,ITAA1997:Section:87-100,ITAA1997:Section:87-100,employment test
ITAA1997:Section:102-30,ITAA1997:Section:409,ITAA1997:Section:409,section 409
ITAA1997:Section:104-85,ITAA1997:Section:118-216,ITAA1997:Section:118-216,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-217,ITAA1997:Section:118-217,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-219,ITAA1997:Section:118-219,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-221,ITAA1997:Section:118-221,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-223,ITAA1997:Section:118-223,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-224,ITAA1997:Section:118-224,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-226,ITAA1997:Section:118-226,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-228,ITAA1997:Section:118-228,sections 118-215 to 118-230
ITAA1997:Section:104-85,ITAA1997:Section:118-229,ITAA1997:Section:118-229,sections 118-215 to 118-230
ITAA1997:Section:106-30,Bankruptcy Act 1966:Part:X,ITAA1997:Part:1966,Part X of the Bankruptcy Act 1966
ITAA1997:Section:108-75,ITAA1997:Subdivision:124-O,ITAA1997:Subdivision:124-O,Subdivision 124-C or former Subdivision 124-O
ITAA1997:Section:109-60,ITAA1997:Section:411,ITAA1997:Section:411,section 411
ITAA1997:Section:110-45,ITAA1997:Section:388-55,ITAA1997:Section:388-55,former section 388-55
ITAA1997:Section:110-55,ITAA1997:Section:42-285,ITAA1997:Section:42-285,section 42-285
ITAA1997:Section:110-55,ITAA1997:Section:42-290,ITAA1997:Section:42-290,section 42-290
ITAA1997:Section:110-55,ITAA1997:Section:42-293,ITAA1997:Section:42-293,section 42-293
ITAA1997:Section:112-97,ITAA1997:Section:412,ITAA1997:Section:412,section 412
ITAA1997:Section:112-97,ITAA1997:Section:413,ITAA1997:Section:413,subsection 413(2)
ITAA1997:Section:112-97,ITAA1997:Section:414,ITAA1997:Section:414,section 414
ITAA1997:Section:118-45,ITAA1997:Section:330-60,ITAA1997:Section:330-60,former section 330-60
ITAA1997:Section:118-265,ITAA1997:Section:118-246,ITAA1997:Section:118-246,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-247,ITAA1997:Section:118-247,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-248,ITAA1997:Section:118-248,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-249,ITAA1997:Section:118-249,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-251,ITAA1997:Section:118-251,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-252,ITAA1997:Section:118-252,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-253,ITAA1997:Section:118-253,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-254,ITAA1997:Section:118-254,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-256,ITAA1997:Section:118-256,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-257,ITAA1997:Section:118-257,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-258,ITAA1997:Section:118-258,Sections 118-245 to 118-260
ITAA1997:Section:118-265,ITAA1997:Section:118-259,ITAA1997:Section:118-259,Sections 118-245 to 118-260
ITAA1997:Section:118-420,ITAA1997:Section:118-7,ITAA1997:Section:118-7,Subsection (7)
ITAA1997:Section:118-505,PDFPA1992:Part:7A,ITAA1997:Part:D,Part 7A of the Pooled Development Funds Act 1992
ITAA1997:Section:118-515,ITAA1997:Subsection:118-2,ITAA1997:Section:118-2,subsection (1)
ITAA1997:Section:122-15,ITAA1997:Section:122-21,ITAA1997:Section:122-21,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-22,ITAA1997:Section:122-22,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-23,ITAA1997:Section:122-23,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-24,ITAA1997:Section:122-24,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-26,ITAA1997:Section:122-26,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-27,ITAA1997:Section:122-27,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-28,ITAA1997:Section:122-28,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-29,ITAA1997:Section:122-29,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-30,ITAA1997:Section:122-30,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-31,ITAA1997:Section:122-31,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-32,ITAA1997:Section:122-32,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-33,ITAA1997:Section:122-33,sections 122-20 to 122-35
ITAA1997:Section:122-15,ITAA1997:Section:122-34,ITAA1997:Section:122-34,sections 122-20 to 122-35
ITAA1997:Section:124-155,ITAA1997:Section:124-100,ITAA1997:Section:124-100,This section applies if you *acquired the original licence (or all of the original licences) on or after 20 September 1985.
ITAA1997:Section:124-600,ITAA1997:Division:124:Subdivision:124-A,ITAA1997:Subdivision:D,Subdivision 124-A
ITAA1997:Section:124-810,ITAA1997:Section:124-50,ITAA1997:Section:124-50,subsection (4)
ITAA1997:Section:126-15,FamilyLawAct1975:Part:VIIIA,ITAA1997:Part:L,Part VIIIA of the Family Law Act 1975
ITAA1997:Section:152-5,ITAA1997:Section:152-1000,ITAA1997:Section:152-1000,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1005,ITAA1997:Section:152-1005,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1010,ITAA1997:Section:152-1010,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1015,ITAA1997:Section:152-1015,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1020,ITAA1997:Section:152-1020,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1025,ITAA1997:Section:152-1025,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1030,ITAA1997:Section:152-1030,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1035,ITAA1997:Section:152-1035,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1040,ITAA1997:Section:152-1040,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1045,ITAA1997:Section:152-1045,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1050,ITAA1997:Section:152-1050,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1055,ITAA1997:Section:152-1055,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1060,ITAA1997:Section:152-1060,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1065,ITAA1997:Section:152-1065,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1070,ITAA1997:Section:152-1070,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1075,ITAA1997:Section:152-1075,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1080,ITAA1997:Section:152-1080,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1085,ITAA1997:Section:152-1085,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1090,ITAA1997:Section:152-1090,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1095,ITAA1997:Section:152-1095,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1100,ITAA1997:Section:152-1100,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1105,ITAA1997:Section:152-1105,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1110,ITAA1997:Section:152-1110,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1115,ITAA1997:Section:152-1115,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1120,ITAA1997:Section:152-1120,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1125,ITAA1997:Section:152-1125,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1130,ITAA1997:Section:152-1130,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1135,ITAA1997:Section:152-1135,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1140,ITAA1997:Section:152-1140,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1145,ITAA1997:Section:152-1145,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1150,ITAA1997:Section:152-1150,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1155,ITAA1997:Section:152-1155,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1160,ITAA1997:Section:152-1160,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1165,ITAA1997:Section:152-1165,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1170,ITAA1997:Section:152-1170,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1175,ITAA1997:Section:152-1175,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1180,ITAA1997:Section:152-1180,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1185,ITAA1997:Section:152-1185,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1190,ITAA1997:Section:152-1190,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1195,ITAA1997:Section:152-1195,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-120,ITAA1997:Section:152-120,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1200,ITAA1997:Section:152-1200,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1205,ITAA1997:Section:152-1205,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1210,ITAA1997:Section:152-1210,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1215,ITAA1997:Section:152-1215,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1220,ITAA1997:Section:152-1220,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1225,ITAA1997:Section:152-1225,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1230,ITAA1997:Section:152-1230,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1235,ITAA1997:Section:152-1235,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1240,ITAA1997:Section:152-1240,basic conditions
ITAA1997:Section:152-5,ITAA1997:Section:152-1245,ITAA1997:Section:152-1245,basic conditions
